iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
33,"(6, 7)","(7, 7)",West,"[(7, 7), (5, 7)]","[(6, 7), (16, 5), (4, 9), (16, 1), (8, 7), (11, 1)]","[(4, 9), (16, 5), (11, 1), (16, 1), (8, 7), (5, 7)]",34,13,11,24
34,"(4, 9)","(5, 9)",West,"[(5, 9), (3, 9)]","[(4, 9), (16, 5), (11, 1), (16, 1), (8, 7), (5, 7)]","[(11, 1), (16, 5), (5, 7), (16, 1), (8, 7), (3, 9)]",35,13,11,24
35,"(11, 1)","(12, 1)",West,"[(12, 1), (10, 1)]","[(11, 1), (16, 5), (5, 7), (16, 1), (8, 7), (3, 9)]","[(5, 7), (16, 5), (3, 9), (16, 1), (8, 7), (10, 1)]",36,14,10,24
36,"(5, 7)","(6, 7)",West,"[(5, 6), (6, 7)]","[(5, 7), (16, 5), (3, 9), (16, 1), (8, 7), (10, 1)]","[(3, 9), (16, 5), (10, 1), (16, 1), (8, 7), (5, 6)]",37,14,10,24
37,"(3, 9)","(4, 9)",West,"[(3, 8), (4, 9)]","[(3, 9), (16, 5), (10, 1), (16, 1), (8, 7), (5, 6)]","[(10, 1), (16, 5), (5, 6), (16, 1), (8, 7), (3, 8)]",38,14,10,24
38,"(10, 1)","(11, 1)",West,"[(11, 1), (9, 1)]","[(10, 1), (16, 5), (5, 6), (16, 1), (8, 7), (3, 8)]","[(5, 6), (16, 5), (3, 8), (16, 1), (8, 7), (9, 1)]",39,15,9,24
39,"(5, 6)","(5, 7)",South,"[(5, 7), (5, 5)]","[(5, 6), (16, 5), (3, 8), (16, 1), (8, 7), (9, 1)]","[(3, 8), (16, 5), (9, 1), (16, 1), (8, 7), (5, 5)]",40,15,9,24
40,"(3, 8)","(3, 9)",South,"[(3, 9), (3, 7)]","[(3, 8), (16, 5), (9, 1), (16, 1), (8, 7), (5, 5)]","[(9, 1), (16, 5), (5, 5), (16, 1), (8, 7), (3, 7)]",41,15,9,24
41,"(9, 1)","(10, 1)",West,"[(9, 2), (10, 1)]","[(9, 1), (16, 5), (5, 5), (16, 1), (8, 7), (3, 7)]","[(5, 5), (16, 5), (3, 7), (16, 1), (8, 7), (9, 2)]",42,16,8,24
42,"(5, 5)","(5, 6)",South,"[(5, 6), (5, 4), (4, 5)]","[(5, 5), (16, 5), (3, 7), (16, 1), (8, 7), (9, 2)]","[(3, 7), (16, 5), (5, 4), (16, 1), (8, 7), (9, 2), (4, 5)]",43,16,8,24
43,"(3, 7)","(3, 8)",South,"[(3, 8), (2, 7)]","[(3, 7), (16, 5), (5, 4), (16, 1), (8, 7), (9, 2), (4, 5)]","[(5, 4), (16, 5), (4, 5), (16, 1), (8, 7), (9, 2), (2, 7)]",44,16,8,24
44,"(5, 4)","(5, 5)",South,"[(5, 5), (5, 3)]","[(5, 4), (16, 5), (4, 5), (16, 1), (8, 7), (9, 2), (2, 7)]","[(4, 5), (16, 5), (2, 7), (16, 1), (8, 7), (9, 2), (5, 3)]",45,17,7,24
45,"(4, 5)","(5, 5)",West,"[(5, 5), (3, 5)]","[(4, 5), (16, 5), (2, 7), (16, 1), (8, 7), (9, 2), (5, 3)]","[(2, 7), (16, 5), (5, 3), (16, 1), (8, 7), (9, 2), (3, 5)]",46,17,7,24
46,"(2, 7)","(3, 7)",West,"[(3, 7), (1, 7)]","[(2, 7), (16, 5), (5, 3), (16, 1), (8, 7), (9, 2), (3, 5)]","[(5, 3), (16, 5), (3, 5), (16, 1), (8, 7), (9, 2), (1, 7)]",47,17,7,24
47,"(5, 3)","(5, 4)",South,"[(5, 4), (5, 2)]","[(5, 3), (16, 5), (3, 5), (16, 1), (8, 7), (9, 2), (1, 7)]","[(3, 5), (16, 5), (1, 7), (16, 1), (8, 7), (9, 2), (5, 2)]",48,18,6,24
48,"(3, 5)","(4, 5)",West,"[(4, 5), (2, 5)]","[(3, 5), (16, 5), (1, 7), (16, 1), (8, 7), (9, 2), (5, 2)]","[(1, 7), (16, 5), (5, 2), (16, 1), (8, 7), (9, 2), (2, 5)]",49,18,6,24
49,"(1, 7)","(2, 7)",West,"[(1, 8), (1, 6), (2, 7)]","[(1, 7), (16, 5), (5, 2), (16, 1), (8, 7), (9, 2), (2, 5)]","[(5, 2), (1, 6), (2, 5), (16, 5), (8, 7), (9, 2), (1, 8), (16, 1)]",50,18,6,24
50,"(5, 2)","(5, 3)",South,"[(5, 3), (5, 1)]","[(5, 2), (1, 6), (2, 5), (16, 5), (8, 7), (9, 2), (1, 8), (16, 1)]","[(2, 5), (1, 6), (16, 1), (5, 1), (8, 7), (9, 2), (1, 8), (16, 5)]",51,19,5,24
51,"(2, 5)","(3, 5)",West,"[(3, 5), (1, 5)]","[(2, 5), (1, 6), (16, 1), (5, 1), (8, 7), (9, 2), (1, 8), (16, 5)]","[(1, 6), (5, 1), (16, 1), (1, 5), (8, 7), (9, 2), (1, 8), (16, 5)]",52,19,5,24
52,"(1, 6)","(1, 7)",South,"[(1, 7), (1, 5)]","[(1, 6), (5, 1), (16, 1), (1, 5), (8, 7), (9, 2), (1, 8), (16, 5)]","[(5, 1), (1, 5), (16, 1), (1, 5), (8, 7), (9, 2), (1, 8), (16, 5)]",53,19,5,24
53,"(5, 1)","(5, 2)",South,"[(5, 2), (6, 1)]","[(5, 1), (1, 5), (16, 1), (1, 5), (8, 7), (9, 2), (1, 8), (16, 5)]","[(1, 5), (1, 5), (16, 1), (16, 5), (8, 7), (9, 2), (1, 8), (6, 1)]",54,20,4,24
54,"(1, 5)","(2, 5)",West,"[(1, 6), (1, 4), (2, 5)]","[(1, 5), (1, 5), (16, 1), (16, 5), (8, 7), (9, 2), (1, 8), (6, 1)]","[(1, 5), (1, 4), (16, 1), (16, 5), (8, 7), (9, 2), (1, 8), (6, 1)]",55,20,4,24
55,"(1, 4)","(1, 5)",South,"[(1, 5), (1, 3)]","[(1, 4), (16, 5), (16, 1), (6, 1), (8, 7), (9, 2), (1, 8)]","[(1, 3), (8, 7), (16, 5), (6, 1), (1, 8), (9, 2), (16, 1)]",56,21,3,24
56,"(1, 3)","(1, 4)",South,"[(1, 4), (1, 2), (2, 3)]","[(1, 3), (8, 7), (16, 5), (6, 1), (1, 8), (9, 2), (16, 1)]","[(1, 2), (8, 7), (16, 5), (6, 1), (1, 8), (9, 2), (16, 1), (2, 3)]",57,22,2,24
57,"(1, 2)","(1, 3)",South,"[(1, 3), (1, 1)]","[(1, 2), (8, 7), (16, 5), (6, 1), (1, 8), (9, 2), (16, 1), (2, 3)]","[(1, 1), (16, 5), (16, 1), (8, 7), (1, 8), (9, 2), (2, 3), (6, 1)]",58,23,1,24
58,"(1, 1)","(1, 2)",South,[],"[(1, 1), (16, 5), (16, 1), (8, 7), (1, 8), (9, 2), (2, 3), (6, 1)]","[(16, 5), (8, 7), (16, 1), (6, 1), (1, 8), (9, 2), (2, 3)]",58,24,0,24
