iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
29,"(16, 3)","(17, 3)",West,"[(17, 3), (15, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 3)]",30,25,0,25
30,"(15, 3)","(16, 3)",West,"[(15, 4), (15, 2), (16, 3), (14, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (14, 3)]",31,26,0,26
31,"(14, 3)","(15, 3)",West,"[(15, 3), (13, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (14, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (13, 3)]",32,27,0,27
32,"(13, 3)","(14, 3)",West,"[(13, 4), (14, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (13, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (13, 4)]",33,28,0,28
33,"(13, 4)","(13, 3)",North,"[(13, 5), (13, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (13, 4)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (13, 5)]",34,29,0,29
34,"(13, 5)","(13, 4)",North,"[(13, 4)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2), (13, 5)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2)]",35,30,0,30
35,"(15, 2)","(15, 3)",South,"[(15, 3), (15, 1)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 2)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 1)]",36,27,0,27
36,"(15, 1)","(15, 2)",South,"[(15, 2), (16, 1)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (15, 1)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (16, 1)]",37,28,0,28
37,"(16, 1)","(15, 1)",East,"[(17, 1), (15, 1)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (16, 1)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (17, 1)]",38,29,0,29
38,"(17, 1)","(16, 1)",East,"[(16, 1)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4), (17, 1)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 4)]",39,30,0,30
