iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(3, 1)",None,None,"[(4, 1), (2, 1)]","[(3, 1)]","[(2, 1), (4, 1)]",1,0,0,0
1,"(4, 1)","(3, 1)",East,"[(5, 1), (3, 1)]","[(2, 1), (4, 1)]","[(5, 1), (2, 1)]",2,1,0,1
2,"(2, 1)","(3, 1)",West,"[(3, 1), (1, 1)]","[(5, 1), (2, 1)]","[(1, 1), (5, 1)]",3,1,0,1
3,"(5, 1)","(4, 1)",East,"[(6, 1), (4, 1)]","[(1, 1), (5, 1)]","[(6, 1), (1, 1)]",4,2,0,2
4,"(1, 1)","(2, 1)",West,[],"[(6, 1), (1, 1)]","[(6, 1)]",4,2,0,2
