iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
33,"(7, 8)","(7, 9)",South,"[(7, 9), (7, 7)]","[(17, 1), (13, 1), (17, 1), (6, 9), (7, 8)]","[(7, 7), (17, 1), (13, 1), (17, 1), (6, 9)]",34,11,0,11
34,"(6, 9)","(7, 9)",West,"[(7, 9), (5, 9)]","[(7, 7), (17, 1), (13, 1), (17, 1), (6, 9)]","[(5, 9), (7, 7), (17, 1), (13, 1), (17, 1)]",35,11,0,11
35,"(17, 1)","(16, 1)",East,"[(17, 2), (16, 1)]","[(5, 9), (7, 7), (17, 1), (13, 1), (17, 1)]","[(5, 9), (7, 7), (17, 1), (13, 1)]",36,12,0,12
36,"(13, 1)","(14, 1)",West,"[(14, 1), (12, 1)]","[(5, 9), (7, 7), (17, 1), (13, 1)]","[(12, 1), (5, 9), (7, 7), (17, 1)]",37,12,0,12
37,"(7, 7)","(7, 8)",South,"[(7, 8), (8, 7), (6, 7)]","[(12, 1), (5, 9), (7, 7)]","[(6, 7), (8, 7), (12, 1), (5, 9)]",38,12,0,12
38,"(5, 9)","(6, 9)",West,"[(6, 9), (4, 9)]","[(6, 7), (8, 7), (12, 1), (5, 9)]","[(4, 9), (6, 7), (8, 7), (12, 1)]",39,12,0,12
39,"(12, 1)","(13, 1)",West,"[(13, 1), (11, 1)]","[(4, 9), (6, 7), (8, 7), (12, 1)]","[(11, 1), (4, 9), (6, 7), (8, 7)]",40,13,0,13
40,"(8, 7)","(7, 7)",East,"[(9, 7), (7, 7)]","[(11, 1), (4, 9), (6, 7), (8, 7)]","[(9, 7), (11, 1), (4, 9), (6, 7)]",41,13,0,13
41,"(6, 7)","(7, 7)",West,"[(7, 7), (5, 7)]","[(9, 7), (11, 1), (4, 9), (6, 7)]","[(5, 7), (9, 7), (11, 1), (4, 9)]",42,13,0,13
42,"(4, 9)","(5, 9)",West,"[(5, 9), (3, 9)]","[(5, 7), (9, 7), (11, 1), (4, 9)]","[(3, 9), (5, 7), (9, 7), (11, 1)]",43,13,0,13
43,"(11, 1)","(12, 1)",West,"[(12, 1), (10, 1)]","[(3, 9), (5, 7), (9, 7), (11, 1)]","[(10, 1), (3, 9), (5, 7), (9, 7)]",44,14,0,14
44,"(9, 7)","(8, 7)",East,"[(8, 7)]","[(10, 1), (3, 9), (5, 7), (9, 7)]","[(10, 1), (3, 9), (5, 7)]",45,14,0,14
45,"(5, 7)","(6, 7)",West,"[(5, 6), (6, 7)]","[(10, 1), (3, 9), (5, 7)]","[(5, 6), (10, 1), (3, 9)]",46,14,0,14
46,"(3, 9)","(4, 9)",West,"[(3, 8), (4, 9)]","[(5, 6), (10, 1), (3, 9)]","[(3, 8), (5, 6), (10, 1)]",47,14,0,14
47,"(10, 1)","(11, 1)",West,"[(11, 1), (9, 1)]","[(3, 8), (5, 6), (10, 1)]","[(9, 1), (3, 8), (5, 6)]",48,15,0,15
48,"(5, 6)","(5, 7)",South,"[(5, 7), (5, 5)]","[(9, 1), (3, 8), (5, 6)]","[(5, 5), (9, 1), (3, 8)]",49,15,0,15
49,"(3, 8)","(3, 9)",South,"[(3, 9), (3, 7)]","[(5, 5), (9, 1), (3, 8)]","[(3, 7), (5, 5), (9, 1)]",50,15,0,15
50,"(9, 1)","(10, 1)",West,"[(9, 2), (10, 1)]","[(3, 7), (5, 5), (9, 1)]","[(9, 2), (3, 7), (5, 5)]",51,16,0,16
51,"(5, 5)","(5, 6)",South,"[(5, 6), (5, 4), (4, 5)]","[(9, 2), (3, 7), (5, 5)]","[(4, 5), (5, 4), (9, 2), (3, 7)]",52,16,0,16
52,"(3, 7)","(3, 8)",South,"[(3, 8), (2, 7)]","[(4, 5), (5, 4), (9, 2), (3, 7)]","[(2, 7), (4, 5), (5, 4), (9, 2)]",53,16,0,16
53,"(9, 2)","(9, 1)",North,"[(9, 3), (9, 1)]","[(2, 7), (4, 5), (5, 4), (9, 2)]","[(9, 3), (2, 7), (4, 5), (5, 4)]",54,17,0,17
54,"(5, 4)","(5, 5)",South,"[(5, 5), (5, 3)]","[(9, 3), (2, 7), (4, 5), (5, 4)]","[(5, 3), (9, 3), (2, 7), (4, 5)]",55,17,0,17
55,"(4, 5)","(5, 5)",West,"[(5, 5), (3, 5)]","[(5, 3), (9, 3), (2, 7), (4, 5)]","[(3, 5), (5, 3), (9, 3), (2, 7)]",56,17,0,17
56,"(2, 7)","(3, 7)",West,"[(3, 7), (1, 7)]","[(3, 5), (5, 3), (9, 3), (2, 7)]","[(1, 7), (3, 5), (5, 3), (9, 3)]",57,17,0,17
57,"(9, 3)","(9, 2)",North,"[(9, 4), (9, 2), (8, 3)]","[(1, 7), (3, 5), (5, 3), (9, 3)]","[(8, 3), (9, 4), (1, 7), (3, 5), (5, 3)]",58,18,0,18
58,"(5, 3)","(5, 4)",South,"[(5, 4), (5, 2)]","[(8, 3), (9, 4), (1, 7), (3, 5), (5, 3)]","[(5, 2), (8, 3), (9, 4), (1, 7), (3, 5)]",59,18,0,18
59,"(3, 5)","(4, 5)",West,"[(4, 5), (2, 5)]","[(5, 2), (8, 3), (9, 4), (1, 7), (3, 5)]","[(2, 5), (5, 2), (8, 3), (9, 4), (1, 7)]",60,18,0,18
60,"(1, 7)","(2, 7)",West,"[(1, 8), (1, 6), (2, 7)]","[(2, 5), (5, 2), (8, 3), (9, 4), (1, 7)]","[(1, 6), (1, 8), (2, 5), (5, 2), (8, 3), (9, 4)]",61,18,0,18
61,"(9, 4)","(9, 3)",North,"[(9, 5), (9, 3)]","[(1, 6), (1, 8), (2, 5), (5, 2), (8, 3), (9, 4)]","[(9, 5), (1, 6), (1, 8), (2, 5), (5, 2), (8, 3)]",62,19,0,19
62,"(8, 3)","(9, 3)",West,"[(9, 3), (7, 3)]","[(9, 5), (1, 6), (1, 8), (2, 5), (5, 2), (8, 3)]","[(7, 3), (9, 5), (1, 6), (1, 8), (2, 5), (5, 2)]",63,19,0,19
