iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
14,"(29, 5)","(30, 5)",West,"[(29, 4), (30, 5)]","[(29, 5), (33, 4), (31, 6), (35, 4)]","[(29, 4), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",10,32,42
15,"(29, 4)","(29, 5)",South,"[(29, 5), (29, 3)]","[(29, 4), (33, 4), (31, 6), (35, 4)]","[(29, 3), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (29, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",11,31,42
16,"(29, 3)","(29, 4)",South,"[(29, 4), (28, 3)]","[(29, 3), (33, 4), (31, 6), (35, 4)]","[(28, 3), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (29, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (29, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",12,30,42
17,"(28, 3)","(29, 3)",West,"[(29, 3), (27, 3)]","[(28, 3), (33, 4), (31, 6), (35, 4)]","[(27, 3), (33, 4), (31, 6), (35, 4)]","[(31, 5), (33, 1), (29, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (28, 3), (34, 3), (29, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",13,29,42
18,"(27, 3)","(28, 3)",West,"[(27, 4), (27, 2), (28, 3), (26, 3)]","[(27, 3), (33, 4), (31, 6), (35, 4)]","[(27, 2), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (33, 3), (35, 3), (29, 5), (31, 2)]",14,28,42
19,"(27, 2)","(27, 3)",South,"[(27, 3), (27, 1)]","[(27, 2), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(27, 1), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (29, 5), (31, 2)]",15,27,42
20,"(27, 1)","(27, 2)",South,"[(27, 2), (28, 1)]","[(27, 1), (27, 4), (26, 3), (35, 4), (33, 4), (31, 6)]","[(26, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (29, 5), (31, 2)]",16,26,42
21,"(26, 3)","(27, 3)",West,"[(27, 3), (25, 3)]","[(26, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6)]","[(25, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (26, 3), (29, 5), (31, 2)]",15,27,42
22,"(25, 3)","(26, 3)",West,"[(25, 4), (26, 3), (24, 3)]","[(25, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6)]","[(24, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6), (25, 4)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (26, 3), (29, 5), (31, 2)]",16,26,42
23,"(24, 3)","(25, 3)",West,"[(25, 3), (23, 3)]","[(24, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6), (25, 4)]","[(23, 3), (27, 4), (28, 1), (35, 4), (33, 4), (31, 6), (25, 4)]","[(31, 5), (34, 1), (27, 1), (28, 3), (32, 3), (35, 2), (29, 4), (31, 4), (31, 1), (34, 3), (27, 3), (30, 5), (33, 1), (25, 3), (35, 1), (29, 3), (31, 3), (27, 2), (33, 3), (35, 3), (24, 3), (26, 3), (29, 5), (31, 2)]",17,25,42
