iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
28,"(5, 1)","(5, 2)",South,"[(5, 2), (6, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (5, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (6, 1)]",29,28,0,28
29,"(6, 1)","(5, 1)",East,"[(7, 1), (5, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (6, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 1)]",30,29,0,29
30,"(7, 1)","(6, 1)",East,"[(7, 2), (6, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 2)]",31,30,0,30
31,"(7, 2)","(7, 1)",North,"[(7, 3), (7, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 2)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 3)]",32,31,0,31
32,"(7, 3)","(7, 2)",North,"[(7, 4), (7, 2), (8, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (8, 3)]",33,32,0,32
33,"(8, 3)","(7, 3)",East,"[(9, 3), (7, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (8, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 3)]",34,33,0,33
34,"(9, 3)","(8, 3)",East,"[(9, 4), (9, 2), (8, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (9, 2)]",35,34,0,34
35,"(9, 2)","(9, 3)",South,"[(9, 3), (9, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (9, 2)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (9, 1)]",36,35,0,35
36,"(9, 1)","(9, 2)",South,"[(9, 2), (10, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (9, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (10, 1)]",37,36,0,36
37,"(10, 1)","(9, 1)",East,"[(11, 1), (9, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (10, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (11, 1)]",38,37,0,37
38,"(11, 1)","(10, 1)",East,"[(12, 1), (10, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (11, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (12, 1)]",39,38,0,38
39,"(12, 1)","(11, 1)",East,"[(13, 1), (11, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (12, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (13, 1)]",40,39,0,39
40,"(13, 1)","(12, 1)",East,"[(14, 1), (12, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (13, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (14, 1)]",41,40,0,40
41,"(14, 1)","(13, 1)",East,"[(15, 1), (13, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (14, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 1)]",42,41,0,41
42,"(15, 1)","(14, 1)",East,"[(15, 2), (16, 1), (14, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (16, 1)]",43,42,0,42
43,"(16, 1)","(15, 1)",East,"[(17, 1), (15, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (16, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 1)]",44,43,0,43
44,"(17, 1)","(16, 1)",East,"[(17, 2), (16, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 2)]",45,44,0,44
45,"(17, 2)","(17, 1)",North,"[(17, 3), (17, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 2)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 3)]",46,45,0,45
46,"(17, 3)","(17, 2)",North,"[(17, 4), (17, 2)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 4)]",47,46,0,46
47,"(17, 4)","(17, 3)",North,"[(17, 5), (17, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 5)]",48,47,0,47
48,"(17, 5)","(17, 4)",North,"[(17, 4), (16, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (16, 5)]",49,48,0,48
49,"(16, 5)","(17, 5)",West,"[(17, 5), (15, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (16, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 5)]",50,49,0,49
50,"(15, 5)","(16, 5)",West,"[(15, 6), (15, 4), (16, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6), (15, 4)]",51,50,0,50
51,"(15, 4)","(15, 5)",South,"[(15, 5), (15, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6), (15, 4)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6), (15, 3)]",52,51,0,51
52,"(15, 3)","(15, 4)",South,"[(15, 4), (15, 2)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6), (15, 3)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6), (15, 2)]",53,52,0,52
53,"(15, 2)","(15, 1)",North,"[(15, 3), (15, 1)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6), (15, 2)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6)]",54,53,0,53
54,"(15, 6)","(15, 5)",North,"[(15, 7), (15, 5)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 6)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 7)]",55,51,0,51
55,"(15, 7)","(15, 6)",North,"[(15, 6), (16, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (15, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (16, 7)]",56,52,0,52
56,"(16, 7)","(15, 7)",East,"[(17, 7), (15, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (16, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 7)]",57,53,0,53
57,"(17, 7)","(16, 7)",East,"[(17, 8), (16, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 4), (5, 6), (7, 4), (9, 4), (15, 2), (17, 8)]",58,54,0,54
