iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
35,"(10, 7)","(9, 7)",East,"[(11, 7), (9, 7)]","[(11, 9), (16, 10), (15, 7), (20, 13), (19, 12), (8, 7), (10, 7)]","[(11, 7), (11, 9), (16, 10), (15, 7), (20, 13), (19, 12), (8, 7)]",36,17,0,17
36,"(8, 7)","(9, 7)",West,"[(9, 7), (7, 7)]","[(11, 7), (11, 9), (16, 10), (15, 7), (20, 13), (19, 12), (8, 7)]","[(7, 7), (11, 7), (11, 9), (16, 10), (15, 7), (20, 13), (19, 12)]",37,17,0,17
37,"(19, 12)","(19, 13)",South,"[(19, 13), (19, 11)]","[(7, 7), (11, 7), (11, 9), (16, 10), (15, 7), (20, 13), (19, 12)]","[(19, 11), (7, 7), (11, 7), (11, 9), (16, 10), (15, 7), (20, 13)]",38,17,0,17
38,"(20, 13)","(19, 13)",East,"[(21, 13), (19, 13)]","[(19, 11), (7, 7), (11, 7), (11, 9), (16, 10), (15, 7), (20, 13)]","[(21, 13), (19, 11), (7, 7), (11, 7), (11, 9), (16, 10), (15, 7)]",39,17,0,17
39,"(15, 7)","(15, 8)",South,"[(15, 8), (16, 7), (14, 7)]","[(21, 13), (19, 11), (7, 7), (11, 7), (11, 9), (16, 10), (15, 7)]","[(14, 7), (16, 7), (21, 13), (19, 11), (7, 7), (11, 7), (11, 9), (16, 10)]",40,18,0,18
40,"(16, 10)","(16, 9)",North,"[(16, 11), (16, 9)]","[(14, 7), (16, 7), (21, 13), (19, 11), (7, 7), (11, 7), (11, 9), (16, 10)]","[(16, 11), (14, 7), (16, 7), (21, 13), (19, 11), (7, 7), (11, 7), (11, 9)]",41,18,0,18
41,"(11, 9)","(12, 9)",West,"[(11, 8), (12, 9)]","[(16, 11), (14, 7), (16, 7), (21, 13), (19, 11), (7, 7), (11, 7), (11, 9)]","[(11, 8), (16, 11), (14, 7), (16, 7), (21, 13), (19, 11), (7, 7), (11, 7)]",42,18,0,18
42,"(11, 7)","(10, 7)",East,"[(11, 8), (11, 6), (10, 7)]","[(11, 8), (16, 11), (14, 7), (16, 7), (21, 13), (19, 11), (7, 7), (11, 7)]","[(11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7), (21, 13), (19, 11), (7, 7)]",43,18,0,18
43,"(7, 7)","(8, 7)",West,"[(8, 7), (6, 7)]","[(11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7), (21, 13), (19, 11), (7, 7)]","[(6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7), (21, 13), (19, 11)]",44,18,0,18
44,"(19, 11)","(19, 12)",South,"[(19, 12), (20, 11), (18, 11)]","[(6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7), (21, 13), (19, 11)]","[(18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7), (21, 13)]",45,18,0,18
45,"(21, 13)","(20, 13)",East,"[(22, 13), (20, 13)]","[(18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7), (21, 13)]","[(22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7)]",46,18,0,18
46,"(16, 7)","(15, 7)",East,"[(17, 7), (15, 7)]","[(22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7), (16, 7)]","[(17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7)]",47,19,0,19
47,"(14, 7)","(15, 7)",West,"[(15, 7), (13, 7)]","[(17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11), (14, 7)]","[(13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11)]",48,19,0,19
48,"(16, 11)","(16, 10)",North,"[(16, 10), (17, 11)]","[(13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8), (16, 11)]","[(17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8)]",49,19,0,19
49,"(11, 8)","(11, 9)",South,"[(11, 9), (11, 7)]","[(17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8), (11, 8)]","[(17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6), (11, 8)]",50,19,0,19
50,"(11, 6)","(11, 7)",South,"[(11, 7), (11, 5)]","[(17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7), (11, 6)]","[(11, 5), (17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7)]",51,19,0,19
51,"(6, 7)","(7, 7)",West,"[(7, 7), (5, 7)]","[(11, 5), (17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11), (6, 7)]","[(5, 7), (11, 5), (17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11)]",52,19,0,19
52,"(20, 11)","(19, 11)",East,"[(21, 11), (19, 11)]","[(5, 7), (11, 5), (17, 11), (13, 7), (17, 7), (22, 13), (18, 11), (20, 11)]","[(21, 11), (5, 7), (11, 5), (17, 11), (13, 7), (17, 7), (22, 13), (18, 11)]",53,19,0,19
53,"(18, 11)","(19, 11)",West,"[(19, 11), (17, 11)]","[(21, 11), (5, 7), (11, 5), (17, 11), (13, 7), (17, 7), (22, 13), (18, 11)]","[(17, 11), (21, 11), (5, 7), (11, 5), (17, 11), (13, 7), (17, 7), (22, 13)]",54,19,0,19
54,"(22, 13)","(21, 13)",East,"[(23, 13), (21, 13)]","[(17, 11), (21, 11), (5, 7), (11, 5), (17, 11), (13, 7), (17, 7), (22, 13)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5), (17, 11), (13, 7), (17, 7)]",55,19,0,19
55,"(17, 7)","(16, 7)",East,"[(16, 7)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5), (17, 11), (13, 7), (17, 7)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5), (17, 11), (13, 7)]",56,20,0,20
56,"(13, 7)","(14, 7)",West,"[(14, 7)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5), (17, 11), (13, 7)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5), (17, 11)]",57,20,0,20
57,"(17, 11)","(16, 11)",East,"[(18, 11), (16, 11)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5), (17, 11)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5)]",58,20,0,20
58,"(11, 5)","(11, 6)",South,"[(11, 6), (12, 5)]","[(23, 13), (17, 11), (21, 11), (5, 7), (11, 5)]","[(12, 5), (23, 13), (17, 11), (21, 11), (5, 7)]",59,20,0,20
59,"(5, 7)","(6, 7)",West,"[(5, 8), (5, 6), (6, 7)]","[(12, 5), (23, 13), (17, 11), (21, 11), (5, 7)]","[(5, 6), (5, 8), (12, 5), (23, 13), (17, 11), (21, 11)]",60,20,0,20
60,"(21, 11)","(20, 11)",East,"[(21, 10), (20, 11)]","[(5, 6), (5, 8), (12, 5), (23, 13), (17, 11), (21, 11)]","[(21, 10), (5, 6), (5, 8), (12, 5), (23, 13), (17, 11)]",61,20,0,20
61,"(23, 13)","(22, 13)",East,"[(23, 12), (22, 13)]","[(21, 10), (5, 6), (5, 8), (12, 5), (23, 13)]","[(23, 12), (21, 10), (5, 6), (5, 8), (12, 5)]",62,20,0,20
62,"(12, 5)","(11, 5)",East,"[(13, 5), (11, 5)]","[(23, 12), (21, 10), (5, 6), (5, 8), (12, 5)]","[(13, 5), (23, 12), (21, 10), (5, 6), (5, 8)]",63,21,0,21
63,"(5, 8)","(5, 7)",North,"[(5, 9), (5, 7)]","[(13, 5), (23, 12), (21, 10), (5, 6), (5, 8)]","[(5, 9), (13, 5), (23, 12), (21, 10), (5, 6)]",64,21,0,21
64,"(5, 6)","(5, 7)",South,"[(5, 7), (5, 5)]","[(5, 9), (13, 5), (23, 12), (21, 10), (5, 6)]","[(5, 5), (5, 9), (13, 5), (23, 12), (21, 10)]",65,21,0,21
65,"(21, 10)","(21, 11)",South,"[(21, 11), (21, 9), (22, 10)]","[(5, 5), (5, 9), (13, 5), (23, 12), (21, 10)]","[(22, 10), (21, 9), (5, 5), (5, 9), (13, 5), (23, 12)]",66,21,0,21
66,"(23, 12)","(23, 13)",South,"[(23, 13), (23, 11)]","[(22, 10), (21, 9), (5, 5), (5, 9), (13, 5), (23, 12)]","[(23, 11), (22, 10), (21, 9), (5, 5), (5, 9), (13, 5)]",67,21,0,21
67,"(13, 5)","(12, 5)",East,"[(14, 5), (12, 5)]","[(23, 11), (22, 10), (21, 9), (5, 5), (5, 9), (13, 5)]","[(14, 5), (23, 11), (22, 10), (21, 9), (5, 5), (5, 9)]",68,22,0,22
68,"(5, 9)","(5, 8)",North,"[(5, 8)]","[(14, 5), (23, 11), (22, 10), (21, 9), (5, 5), (5, 9)]","[(14, 5), (23, 11), (22, 10), (21, 9), (5, 5)]",69,22,0,22
69,"(5, 5)","(5, 6)",South,"[(5, 6), (6, 5)]","[(14, 5), (23, 11), (22, 10), (21, 9), (5, 5)]","[(6, 5), (14, 5), (23, 11), (22, 10), (21, 9)]",70,22,0,22
70,"(21, 9)","(21, 10)",South,"[(21, 10), (21, 8)]","[(6, 5), (14, 5), (23, 11), (22, 10), (21, 9)]","[(21, 8), (6, 5), (14, 5), (23, 11), (22, 10)]",71,22,0,22
71,"(22, 10)","(21, 10)",East,[],"[(21, 8), (6, 5), (14, 5), (23, 11), (22, 10)]","[(21, 8), (6, 5), (14, 5), (23, 11)]",71,22,0,22
