iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
37,"(34, 9)","(33, 9)",East,"[(35, 9), (33, 9)]","[(33, 11), (29, 11), (26, 3), (27, 2), (27, 4), (34, 9)]","[(35, 9), (33, 11), (29, 11), (26, 3), (27, 2), (27, 4)]",38,15,0,15
38,"(27, 4)","(27, 3)",North,"[(27, 5), (27, 3)]","[(35, 9), (33, 11), (29, 11), (26, 3), (27, 2), (27, 4)]","[(27, 5), (35, 9), (33, 11), (29, 11), (26, 3), (27, 2)]",39,15,0,15
39,"(27, 2)","(27, 3)",South,"[(27, 3), (27, 1)]","[(27, 5), (35, 9), (33, 11), (29, 11), (26, 3), (27, 2)]","[(27, 1), (27, 5), (35, 9), (33, 11), (29, 11), (26, 3)]",40,15,0,15
40,"(26, 3)","(27, 3)",West,"[(27, 3), (25, 3)]","[(27, 1), (27, 5), (35, 9), (33, 11), (29, 11), (26, 3)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11), (29, 11)]",41,15,0,15
41,"(29, 11)","(30, 11)",West,"[(30, 11)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11), (29, 11)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11)]",42,16,0,16
42,"(33, 11)","(33, 10)",North,"[(33, 10)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11)]","[(25, 3), (27, 1), (27, 5), (35, 9)]",43,16,0,16
43,"(35, 9)","(34, 9)",East,"[(35, 10), (34, 9)]","[(25, 3), (27, 1), (27, 5), (35, 9)]","[(35, 10), (25, 3), (27, 1), (27, 5)]",44,16,0,16
44,"(27, 5)","(27, 4)",North,"[(27, 6), (27, 4)]","[(35, 10), (25, 3), (27, 1), (27, 5)]","[(27, 6), (35, 10), (25, 3), (27, 1)]",45,16,0,16
45,"(27, 1)","(27, 2)",South,"[(27, 2), (28, 1)]","[(27, 6), (35, 10), (25, 3), (27, 1)]","[(28, 1), (27, 6), (35, 10), (25, 3)]",46,16,0,16
46,"(25, 3)","(26, 3)",West,"[(25, 4), (26, 3), (24, 3)]","[(28, 1), (27, 6), (35, 10), (25, 3)]","[(24, 3), (25, 4), (28, 1), (27, 6), (35, 10)]",47,16,0,16
47,"(35, 10)","(35, 9)",North,"[(35, 11), (35, 9)]","[(24, 3), (25, 4), (28, 1), (27, 6), (35, 10)]","[(35, 11), (24, 3), (25, 4), (28, 1), (27, 6)]",48,17,0,17
48,"(27, 6)","(27, 5)",North,"[(27, 7), (27, 5)]","[(35, 11), (24, 3), (25, 4), (28, 1), (27, 6)]","[(27, 7), (35, 11), (24, 3), (25, 4), (28, 1)]",49,17,0,17
49,"(28, 1)","(27, 1)",East,"[(29, 1), (27, 1)]","[(27, 7), (35, 11), (24, 3), (25, 4), (28, 1)]","[(29, 1), (27, 7), (35, 11), (24, 3), (25, 4)]",50,17,0,17
50,"(25, 4)","(25, 3)",North,"[(25, 5), (25, 3)]","[(29, 1), (27, 7), (35, 11), (24, 3), (25, 4)]","[(25, 5), (29, 1), (27, 7), (35, 11), (24, 3)]",51,17,0,17
51,"(24, 3)","(25, 3)",West,"[(25, 3), (23, 3)]","[(25, 5), (29, 1), (27, 7), (35, 11), (24, 3)]","[(23, 3), (25, 5), (29, 1), (27, 7), (35, 11)]",52,17,0,17
52,"(35, 11)","(35, 10)",North,"[(35, 10)]","[(23, 3), (25, 5), (29, 1), (27, 7), (35, 11)]","[(23, 3), (25, 5), (29, 1), (27, 7)]",53,18,0,18
53,"(27, 7)","(27, 6)",North,"[(27, 6), (28, 7)]","[(23, 3), (25, 5), (29, 1), (27, 7)]","[(28, 7), (23, 3), (25, 5), (29, 1)]",54,18,0,18
54,"(29, 1)","(28, 1)",East,"[(28, 1)]","[(28, 7), (23, 3), (25, 5), (29, 1)]","[(28, 7), (23, 3), (25, 5)]",55,18,0,18
55,"(25, 5)","(25, 4)",North,"[(25, 6), (25, 4), (24, 5)]","[(28, 7), (23, 3), (25, 5)]","[(24, 5), (25, 6), (28, 7), (23, 3)]",56,18,0,18
56,"(23, 3)","(24, 3)",West,"[(23, 2), (24, 3), (22, 3)]","[(24, 5), (25, 6), (28, 7), (23, 3)]","[(22, 3), (23, 2), (24, 5), (25, 6), (28, 7)]",57,18,0,18
57,"(28, 7)","(27, 7)",East,"[(29, 7), (27, 7)]","[(22, 3), (23, 2), (24, 5), (25, 6), (28, 7)]","[(29, 7), (22, 3), (23, 2), (24, 5), (25, 6)]",58,19,0,19
58,"(25, 6)","(25, 5)",North,"[(25, 7), (25, 5)]","[(29, 7), (22, 3), (23, 2), (24, 5), (25, 6)]","[(25, 7), (29, 7), (22, 3), (23, 2), (24, 5)]",59,19,0,19
59,"(24, 5)","(25, 5)",West,"[(25, 5), (23, 5)]","[(25, 7), (29, 7), (22, 3), (23, 2), (24, 5)]","[(23, 5), (25, 7), (29, 7), (22, 3), (23, 2)]",60,19,0,19
60,"(23, 2)","(23, 3)",South,"[(23, 3), (23, 1)]","[(23, 5), (25, 7), (29, 7), (22, 3), (23, 2)]","[(23, 1), (23, 5), (25, 7), (29, 7), (22, 3)]",61,19,0,19
61,"(22, 3)","(23, 3)",West,"[(23, 3), (21, 3)]","[(23, 1), (23, 5), (25, 7), (29, 7), (22, 3)]","[(21, 3), (23, 1), (23, 5), (25, 7), (29, 7)]",62,19,0,19
62,"(29, 7)","(28, 7)",East,"[(29, 8), (28, 7)]","[(21, 3), (23, 1), (23, 5), (25, 7), (29, 7)]","[(29, 8), (21, 3), (23, 1), (23, 5), (25, 7)]",63,20,0,20
63,"(25, 7)","(25, 6)",North,"[(25, 6), (24, 7)]","[(29, 8), (21, 3), (23, 1), (23, 5), (25, 7)]","[(24, 7), (29, 8), (21, 3), (23, 1), (23, 5)]",64,20,0,20
64,"(23, 5)","(24, 5)",West,"[(24, 5)]","[(24, 7), (29, 8), (21, 3), (23, 1), (23, 5)]","[(24, 7), (29, 8), (21, 3), (23, 1)]",65,20,0,20
65,"(23, 1)","(23, 2)",South,"[(23, 2), (24, 1), (22, 1)]","[(24, 7), (29, 8), (21, 3), (23, 1)]","[(22, 1), (24, 1), (24, 7), (29, 8), (21, 3)]",66,20,0,20
66,"(21, 3)","(22, 3)",West,"[(22, 3), (20, 3)]","[(22, 1), (24, 1), (24, 7), (29, 8), (21, 3)]","[(20, 3), (22, 1), (24, 1), (24, 7), (29, 8)]",67,20,0,20
67,"(29, 8)","(29, 7)",North,"[(29, 9), (29, 7)]","[(20, 3), (22, 1), (24, 1), (24, 7), (29, 8)]","[(29, 9), (20, 3), (22, 1), (24, 1), (24, 7)]",68,21,0,21
68,"(24, 7)","(25, 7)",West,"[(25, 7), (23, 7)]","[(29, 9), (20, 3), (22, 1), (24, 1), (24, 7)]","[(23, 7), (29, 9), (20, 3), (22, 1), (24, 1)]",69,21,0,21
69,"(24, 1)","(23, 1)",East,"[(25, 1), (23, 1)]","[(23, 7), (29, 9), (20, 3), (22, 1), (24, 1)]","[(25, 1), (23, 7), (29, 9), (20, 3), (22, 1)]",70,21,0,21
70,"(22, 1)","(23, 1)",West,"[(23, 1), (21, 1)]","[(25, 1), (23, 7), (29, 9), (20, 3), (22, 1)]","[(21, 1), (25, 1), (23, 7), (29, 9), (20, 3)]",71,21,0,21
71,"(20, 3)","(21, 3)",West,"[(21, 3), (19, 3)]","[(21, 1), (25, 1), (23, 7), (29, 9), (20, 3)]","[(19, 3), (21, 1), (25, 1), (23, 7), (29, 9)]",72,21,0,21
72,"(29, 9)","(29, 8)",North,"[(29, 8)]","[(19, 3), (21, 1), (25, 1), (23, 7), (29, 9)]","[(19, 3), (21, 1), (25, 1), (23, 7)]",73,22,0,22
73,"(23, 7)","(24, 7)",West,"[(23, 8), (24, 7), (22, 7)]","[(19, 3), (21, 1), (25, 1), (23, 7)]","[(22, 7), (23, 8), (19, 3), (21, 1), (25, 1)]",74,22,0,22
74,"(25, 1)","(24, 1)",East,"[(24, 1)]","[(22, 7), (23, 8), (19, 3), (21, 1), (25, 1)]","[(22, 7), (23, 8), (19, 3), (21, 1)]",75,22,0,22
