iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
39,"(18, 16)","(19, 16)",West,"[(19, 16), (17, 16)]","[(18, 16), (31, 10), (26, 11)]","[(31, 10), (26, 11), (17, 16)]",40,16,0,16
40,"(31, 10)","(32, 10)",West,"[(32, 10), (30, 10)]","[(31, 10), (26, 11), (17, 16)]","[(26, 11), (17, 16), (30, 10)]",41,17,0,17
41,"(26, 11)","(27, 11)",West,"[(27, 11), (25, 11)]","[(26, 11), (17, 16), (30, 10)]","[(17, 16), (30, 10), (25, 11)]",42,17,0,17
42,"(17, 16)","(18, 16)",West,"[(18, 16), (16, 16)]","[(17, 16), (30, 10), (25, 11)]","[(30, 10), (25, 11), (16, 16)]",43,17,0,17
43,"(30, 10)","(31, 10)",West,"[(30, 9), (31, 10), (29, 10)]","[(30, 10), (25, 11), (16, 16)]","[(25, 11), (16, 16), (30, 9), (29, 10)]",44,18,0,18
44,"(25, 11)","(26, 11)",West,"[(26, 11), (24, 11)]","[(25, 11), (16, 16), (30, 9), (29, 10)]","[(16, 16), (29, 10), (30, 9), (24, 11)]",45,18,0,18
45,"(16, 16)","(17, 16)",West,"[(17, 16), (15, 16)]","[(16, 16), (29, 10), (30, 9), (24, 11)]","[(30, 9), (29, 10), (24, 11), (15, 16)]",46,18,0,18
46,"(30, 9)","(30, 10)",South,"[(30, 10), (30, 8)]","[(30, 9), (29, 10), (24, 11), (15, 16)]","[(29, 10), (15, 16), (24, 11), (30, 8)]",47,19,0,19
47,"(29, 10)","(30, 10)",West,"[(30, 10)]","[(29, 10), (15, 16), (24, 11), (30, 8)]","[(24, 11), (15, 16), (30, 8)]",48,19,0,19
48,"(24, 11)","(25, 11)",West,"[(24, 12), (25, 11)]","[(24, 11), (15, 16), (30, 8)]","[(15, 16), (30, 8), (24, 12)]",49,19,0,19
49,"(15, 16)","(16, 16)",West,"[(16, 16), (14, 16)]","[(15, 16), (30, 8), (24, 12)]","[(30, 8), (24, 12), (14, 16)]",50,19,0,19
50,"(30, 8)","(30, 9)",South,"[(30, 9), (31, 8)]","[(30, 8), (24, 12), (14, 16)]","[(24, 12), (14, 16), (31, 8)]",51,20,0,20
51,"(24, 12)","(24, 11)",North,"[(24, 11), (23, 12)]","[(24, 12), (14, 16), (31, 8)]","[(14, 16), (31, 8), (23, 12)]",52,20,0,20
52,"(14, 16)","(15, 16)",West,"[(15, 16), (13, 16)]","[(14, 16), (31, 8), (23, 12)]","[(31, 8), (23, 12), (13, 16)]",53,20,0,20
53,"(31, 8)","(30, 8)",East,"[(32, 8), (30, 8)]","[(31, 8), (23, 12), (13, 16)]","[(23, 12), (13, 16), (32, 8)]",54,21,0,21
54,"(23, 12)","(24, 12)",West,"[(24, 12), (22, 12)]","[(23, 12), (13, 16), (32, 8)]","[(13, 16), (32, 8), (22, 12)]",55,21,0,21
55,"(13, 16)","(14, 16)",West,"[(14, 16), (12, 16)]","[(13, 16), (32, 8), (22, 12)]","[(32, 8), (22, 12), (12, 16)]",56,21,0,21
56,"(32, 8)","(31, 8)",East,"[(33, 8), (31, 8)]","[(32, 8), (22, 12), (12, 16)]","[(22, 12), (12, 16), (33, 8)]",57,22,0,22
57,"(22, 12)","(23, 12)",West,"[(23, 12), (21, 12)]","[(22, 12), (12, 16), (33, 8)]","[(12, 16), (33, 8), (21, 12)]",58,22,0,22
58,"(12, 16)","(13, 16)",West,"[(13, 16), (11, 16)]","[(12, 16), (33, 8), (21, 12)]","[(33, 8), (21, 12), (11, 16)]",59,22,0,22
59,"(33, 8)","(32, 8)",East,"[(34, 8), (32, 8)]","[(33, 8), (21, 12), (11, 16)]","[(21, 12), (11, 16), (34, 8)]",60,23,0,23
60,"(21, 12)","(22, 12)",West,"[(22, 12), (20, 12)]","[(21, 12), (11, 16), (34, 8)]","[(11, 16), (34, 8), (20, 12)]",61,23,0,23
61,"(11, 16)","(12, 16)",West,"[(12, 16), (10, 16)]","[(11, 16), (34, 8), (20, 12)]","[(34, 8), (20, 12), (10, 16)]",62,23,0,23
62,"(34, 8)","(33, 8)",East,"[(34, 7), (33, 8)]","[(34, 8), (20, 12), (10, 16)]","[(20, 12), (10, 16), (34, 7)]",63,24,0,24
63,"(20, 12)","(21, 12)",West,"[(20, 11), (21, 12), (19, 12)]","[(20, 12), (10, 16), (34, 7)]","[(10, 16), (34, 7), (20, 11), (19, 12)]",64,24,0,24
64,"(10, 16)","(11, 16)",West,"[(11, 16), (9, 16)]","[(10, 16), (34, 7), (20, 11), (19, 12)]","[(34, 7), (19, 12), (20, 11), (9, 16)]",65,24,0,24
65,"(34, 7)","(34, 8)",South,"[(34, 8), (34, 6)]","[(34, 7), (19, 12), (20, 11), (9, 16)]","[(20, 11), (19, 12), (9, 16), (34, 6)]",66,25,0,25
66,"(20, 11)","(20, 12)",South,"[(20, 12), (20, 10), (19, 11)]","[(20, 11), (19, 12), (9, 16), (34, 6)]","[(19, 12), (34, 6), (9, 16), (20, 10), (19, 11)]",67,25,0,25
67,"(19, 12)","(20, 12)",West,"[(19, 11), (20, 12), (18, 12)]","[(19, 12), (34, 6), (9, 16), (20, 10), (19, 11)]","[(9, 16), (34, 6), (19, 11), (20, 10), (19, 11), (18, 12)]",68,25,0,25
68,"(9, 16)","(10, 16)",West,"[(10, 16), (8, 16)]","[(9, 16), (34, 6), (19, 11), (20, 10), (19, 11), (18, 12)]","[(34, 6), (20, 10), (19, 11), (18, 12), (19, 11), (8, 16)]",69,25,0,25
69,"(34, 6)","(34, 7)",South,"[(34, 7), (33, 6)]","[(34, 6), (20, 10), (19, 11), (18, 12), (19, 11), (8, 16)]","[(20, 10), (19, 11), (19, 11), (18, 12), (8, 16), (33, 6)]",70,26,0,26
70,"(20, 10)","(20, 11)",South,"[(20, 11), (20, 9)]","[(20, 10), (19, 11), (19, 11), (18, 12), (8, 16), (33, 6)]","[(19, 11), (19, 11), (33, 6), (18, 12), (8, 16), (20, 9)]",71,26,0,26
71,"(19, 11)","(20, 11)",West,"[(19, 12), (20, 11)]","[(19, 11), (19, 11), (33, 6), (18, 12), (8, 16), (20, 9)]","[(19, 11), (18, 12), (33, 6), (20, 9), (8, 16)]",72,26,0,26
72,"(18, 12)","(19, 12)",West,"[(19, 12), (17, 12)]","[(18, 12), (8, 16), (33, 6), (20, 9)]","[(8, 16), (20, 9), (33, 6), (17, 12)]",73,26,0,26
73,"(8, 16)","(9, 16)",West,"[(9, 16), (7, 16)]","[(8, 16), (20, 9), (33, 6), (17, 12)]","[(33, 6), (20, 9), (17, 12), (7, 16)]",74,26,0,26
74,"(33, 6)","(34, 6)",West,"[(34, 6), (32, 6)]","[(33, 6), (20, 9), (17, 12), (7, 16)]","[(20, 9), (7, 16), (17, 12), (32, 6)]",75,27,0,27
75,"(20, 9)","(20, 10)",South,"[(20, 10), (21, 9)]","[(20, 9), (7, 16), (17, 12), (32, 6)]","[(17, 12), (7, 16), (32, 6), (21, 9)]",76,27,0,27
76,"(17, 12)","(18, 12)",West,"[(17, 13), (18, 12), (16, 12)]","[(17, 12), (7, 16), (32, 6), (21, 9)]","[(7, 16), (21, 9), (32, 6), (17, 13), (16, 12)]",77,27,0,27
77,"(7, 16)","(8, 16)",West,"[(8, 16), (6, 16)]","[(7, 16), (21, 9), (32, 6), (17, 13), (16, 12)]","[(32, 6), (21, 9), (16, 12), (17, 13), (6, 16)]",78,27,0,27
78,"(32, 6)","(33, 6)",West,"[(33, 6), (31, 6)]","[(32, 6), (21, 9), (16, 12), (17, 13), (6, 16)]","[(21, 9), (17, 13), (16, 12), (6, 16), (31, 6)]",79,28,0,28
79,"(21, 9)","(20, 9)",East,"[(22, 9), (20, 9)]","[(21, 9), (17, 13), (16, 12), (6, 16), (31, 6)]","[(17, 13), (6, 16), (16, 12), (31, 6), (22, 9)]",80,28,0,28
80,"(17, 13)","(17, 12)",North,"[(17, 14), (17, 12)]","[(17, 13), (6, 16), (16, 12), (31, 6), (22, 9)]","[(16, 12), (6, 16), (22, 9), (31, 6), (17, 14)]",81,28,0,28
81,"(16, 12)","(17, 12)",West,"[(17, 12), (15, 12)]","[(16, 12), (6, 16), (22, 9), (31, 6), (17, 14)]","[(6, 16), (31, 6), (22, 9), (17, 14), (15, 12)]",82,28,0,28
82,"(6, 16)","(7, 16)",West,"[(7, 16), (5, 16)]","[(6, 16), (31, 6), (22, 9), (17, 14), (15, 12)]","[(31, 6), (17, 14), (22, 9), (15, 12), (5, 16)]",83,28,0,28
83,"(31, 6)","(32, 6)",West,"[(32, 6), (30, 6)]","[(31, 6), (17, 14), (22, 9), (15, 12), (5, 16)]","[(22, 9), (17, 14), (5, 16), (15, 12), (30, 6)]",84,29,0,29
84,"(22, 9)","(21, 9)",East,"[(23, 9), (21, 9)]","[(22, 9), (17, 14), (5, 16), (15, 12), (30, 6)]","[(17, 14), (15, 12), (5, 16), (30, 6), (23, 9)]",85,29,0,29
85,"(17, 14)","(17, 13)",North,"[(17, 13), (16, 14)]","[(17, 14), (15, 12), (5, 16), (30, 6), (23, 9)]","[(15, 12), (30, 6), (5, 16), (23, 9), (16, 14)]",86,29,0,29
86,"(15, 12)","(16, 12)",West,"[(16, 12), (14, 12)]","[(15, 12), (30, 6), (5, 16), (23, 9), (16, 14)]","[(5, 16), (30, 6), (16, 14), (23, 9), (14, 12)]",87,29,0,29
87,"(5, 16)","(6, 16)",West,"[(6, 16), (4, 16)]","[(5, 16), (30, 6), (16, 14), (23, 9), (14, 12)]","[(30, 6), (23, 9), (16, 14), (14, 12), (4, 16)]",88,29,0,29
88,"(30, 6)","(31, 6)",West,"[(30, 5), (31, 6), (29, 6)]","[(30, 6), (23, 9), (16, 14), (14, 12), (4, 16)]","[(23, 9), (14, 12), (16, 14), (4, 16), (30, 5), (29, 6)]",89,30,0,30
89,"(23, 9)","(22, 9)",East,"[(24, 9), (22, 9)]","[(23, 9), (14, 12), (16, 14), (4, 16), (30, 5), (29, 6)]","[(16, 14), (14, 12), (29, 6), (4, 16), (30, 5), (24, 9)]",90,30,0,30
90,"(16, 14)","(17, 14)",West,"[(17, 14), (15, 14)]","[(16, 14), (14, 12), (29, 6), (4, 16), (30, 5), (24, 9)]","[(14, 12), (4, 16), (29, 6), (24, 9), (30, 5), (15, 14)]",91,30,0,30
91,"(14, 12)","(15, 12)",West,"[(14, 11), (15, 12), (13, 12)]","[(14, 12), (4, 16), (29, 6), (24, 9), (30, 5), (15, 14)]","[(4, 16), (30, 5), (29, 6), (24, 9), (15, 14), (14, 11), (13, 12)]",92,30,0,30
92,"(4, 16)","(5, 16)",West,"[(5, 16), (3, 16)]","[(4, 16), (30, 5), (29, 6), (24, 9), (15, 14), (14, 11), (13, 12)]","[(30, 5), (24, 9), (29, 6), (13, 12), (15, 14), (14, 11), (3, 16)]",93,30,0,30
93,"(30, 5)","(30, 6)",South,"[(30, 6), (30, 4)]","[(30, 5), (24, 9), (29, 6), (13, 12), (15, 14), (14, 11), (3, 16)]","[(29, 6), (24, 9), (14, 11), (13, 12), (15, 14), (3, 16), (30, 4)]",94,31,0,31
94,"(29, 6)","(30, 6)",West,"[(30, 6)]","[(29, 6), (24, 9), (14, 11), (13, 12), (15, 14), (3, 16), (30, 4)]","[(24, 9), (15, 14), (14, 11), (13, 12), (30, 4), (3, 16)]",95,31,0,31
95,"(24, 9)","(23, 9)",East,"[(25, 9), (23, 9)]","[(24, 9), (15, 14), (14, 11), (13, 12), (30, 4), (3, 16)]","[(15, 14), (13, 12), (14, 11), (3, 16), (30, 4), (25, 9)]",96,31,0,31
96,"(15, 14)","(16, 14)",West,"[(16, 14), (14, 14)]","[(15, 14), (13, 12), (14, 11), (3, 16), (30, 4), (25, 9)]","[(14, 11), (13, 12), (25, 9), (3, 16), (30, 4), (14, 14)]",97,31,0,31
97,"(14, 11)","(14, 12)",South,"[(14, 12), (14, 10)]","[(14, 11), (13, 12), (25, 9), (3, 16), (30, 4), (14, 14)]","[(13, 12), (3, 16), (25, 9), (14, 14), (30, 4), (14, 10)]",98,31,0,31
98,"(13, 12)","(14, 12)",West,"[(14, 12), (12, 12)]","[(13, 12), (3, 16), (25, 9), (14, 14), (30, 4), (14, 10)]","[(3, 16), (30, 4), (25, 9), (14, 14), (14, 10), (12, 12)]",99,31,0,31
99,"(3, 16)","(4, 16)",West,"[(4, 16), (2, 16)]","[(3, 16), (30, 4), (25, 9), (14, 14), (14, 10), (12, 12)]","[(30, 4), (14, 14), (25, 9), (12, 12), (14, 10), (2, 16)]",100,31,0,31
100,"(30, 4)","(30, 5)",South,"[(30, 5), (30, 3), (31, 4)]","[(30, 4), (14, 14), (25, 9), (12, 12), (14, 10), (2, 16)]","[(25, 9), (14, 14), (2, 16), (12, 12), (14, 10), (30, 3), (31, 4)]",101,32,0,32
101,"(25, 9)","(24, 9)",East,"[(26, 9), (24, 9)]","[(25, 9), (14, 14), (2, 16), (12, 12), (14, 10), (30, 3), (31, 4)]","[(14, 14), (14, 10), (2, 16), (12, 12), (31, 4), (30, 3), (26, 9)]",102,32,0,32
102,"(14, 14)","(15, 14)",West,"[(15, 14), (13, 14)]","[(14, 14), (14, 10), (2, 16), (12, 12), (31, 4), (30, 3), (26, 9)]","[(14, 10), (12, 12), (2, 16), (26, 9), (31, 4), (30, 3), (13, 14)]",103,32,0,32
103,"(14, 10)","(14, 11)",South,"[(14, 11), (15, 10)]","[(14, 10), (12, 12), (2, 16), (26, 9), (31, 4), (30, 3), (13, 14)]","[(12, 12), (31, 4), (2, 16), (26, 9), (13, 14), (30, 3), (15, 10)]",104,32,0,32
104,"(12, 12)","(13, 12)",West,"[(12, 13), (12, 11), (13, 12)]","[(12, 12), (31, 4), (2, 16), (26, 9), (13, 14), (30, 3), (15, 10)]","[(2, 16), (31, 4), (30, 3), (26, 9), (13, 14), (15, 10), (12, 13), (12, 11)]",105,32,0,32
