iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
11,"((12, 3), 'foodLeft=13')","((11, 3), 'foodLeft=13')",East,"[((13, 3), 'foodLeft=13'), ((11, 3), 'foodLeft=13')]","[((12, 3), 'foodLeft=13'), ((7, 4), 'foodLeft=12'), ((9, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((11, 3), 'foodLeft=12'), ((9, 3), 'foodLeft=12')]","[((9, 5), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((11, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((9, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=13')]",12,3,52,55
12,"((9, 5), 'foodLeft=12')","((10, 5), 'foodLeft=12')",West,"[((10, 5), 'foodLeft=12'), ((8, 5), 'foodLeft=12')]","[((9, 5), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((11, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((9, 3), 'foodLeft=12'), ((13, 3), 'foodLeft=13')]","[((11, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((9, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((13, 3), 'foodLeft=13'), ((8, 5), 'foodLeft=12')]",13,4,51,55
13,"((11, 3), 'foodLeft=12')","((10, 3), 'foodLeft=12')",East,"[((12, 3), 'foodLeft=12'), ((10, 3), 'foodLeft=12')]","[((11, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((9, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((13, 3), 'foodLeft=13'), ((8, 5), 'foodLeft=12')]","[((9, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((13, 3), 'foodLeft=13'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((8, 5), 'foodLeft=12'), ((12, 3), 'foodLeft=12')]",14,4,51,55
14,"((9, 3), 'foodLeft=12')","((10, 3), 'foodLeft=12')",West,"[((10, 3), 'foodLeft=12'), ((8, 3), 'foodLeft=12')]","[((9, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((13, 3), 'foodLeft=13'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((8, 5), 'foodLeft=12'), ((12, 3), 'foodLeft=12')]","[((13, 3), 'foodLeft=13'), ((7, 4), 'foodLeft=12'), ((8, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((12, 3), 'foodLeft=12'), ((8, 3), 'foodLeft=12')]",15,4,51,55
15,"((13, 3), 'foodLeft=13')","((12, 3), 'foodLeft=13')",East,"[((13, 4), 'foodLeft=12'), ((14, 3), 'foodLeft=13'), ((12, 3), 'foodLeft=13')]","[((13, 3), 'foodLeft=13'), ((7, 4), 'foodLeft=12'), ((8, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((12, 3), 'foodLeft=12'), ((8, 3), 'foodLeft=12')]","[((8, 5), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((12, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((8, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=12'), ((14, 3), 'foodLeft=13')]",16,4,51,55
16,"((8, 5), 'foodLeft=12')","((9, 5), 'foodLeft=12')",West,"[((9, 5), 'foodLeft=12'), ((7, 5), 'foodLeft=12')]","[((8, 5), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((12, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((8, 3), 'foodLeft=12'), ((13, 4), 'foodLeft=12'), ((14, 3), 'foodLeft=13')]","[((12, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((8, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((13, 5), 'foodLeft=11')]",17,5,50,55
17,"((12, 3), 'foodLeft=12')","((11, 3), 'foodLeft=12')",East,"[((13, 3), 'foodLeft=12'), ((11, 3), 'foodLeft=12')]","[((12, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((8, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((13, 5), 'foodLeft=11')]","[((8, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((13, 3), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=12')]",18,5,50,55
18,"((8, 3), 'foodLeft=12')","((9, 3), 'foodLeft=12')",West,"[((9, 3), 'foodLeft=12'), ((7, 3), 'foodLeft=12')]","[((8, 3), 'foodLeft=12'), ((7, 5), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((13, 3), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=12')]","[((7, 5), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((7, 3), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=12')]",19,5,50,55
19,"((7, 5), 'foodLeft=12')","((8, 5), 'foodLeft=12')",West,"[((7, 4), 'foodLeft=11'), ((8, 5), 'foodLeft=12'), ((6, 5), 'foodLeft=12')]","[((7, 5), 'foodLeft=12'), ((13, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((7, 3), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=12')]","[((13, 3), 'foodLeft=12'), ((7, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((7, 4), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12')]",20,6,49,55
20,"((13, 3), 'foodLeft=12')","((12, 3), 'foodLeft=12')",East,"[((13, 4), 'foodLeft=11'), ((14, 3), 'foodLeft=12'), ((12, 3), 'foodLeft=12')]","[((13, 3), 'foodLeft=12'), ((7, 3), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((7, 4), 'foodLeft=12'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12')]","[((7, 3), 'foodLeft=12'), ((7, 4), 'foodLeft=12'), ((13, 5), 'foodLeft=11'), ((13, 4), 'foodLeft=11'), ((5, 3), 'foodLeft=13'), ((14, 3), 'foodLeft=13'), ((13, 4), 'foodLeft=12'), ((7, 4), 'foodLeft=11'), ((6, 5), 'foodLeft=12'), ((14, 3), 'foodLeft=12')]",21,6,49,55
