iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
33,"(22, 1)","(23, 1)",West,"[(23, 1), (21, 1)]","[(22, 1), (20, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(20, 3), (21, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",34,21,21,42
34,"(20, 3)","(21, 3)",West,"[(21, 3), (19, 3)]","[(20, 3), (21, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(21, 1), (19, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",35,21,21,42
35,"(21, 1)","(22, 1)",West,"[(22, 1), (20, 1)]","[(21, 1), (19, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(19, 3), (20, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",36,22,20,42
36,"(19, 3)","(20, 3)",West,"[(20, 3), (18, 3)]","[(19, 3), (20, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(20, 1), (18, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",37,22,20,42
37,"(20, 1)","(21, 1)",West,"[(21, 1), (19, 1)]","[(20, 1), (18, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(18, 3), (19, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",38,23,19,42
38,"(18, 3)","(19, 3)",West,"[(19, 3), (17, 3)]","[(18, 3), (19, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(19, 1), (17, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",39,23,19,42
39,"(19, 1)","(20, 1)",West,"[(20, 1)]","[(19, 1), (17, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(17, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4), (24, 1)]",40,24,18,42
40,"(17, 3)","(18, 3)",West,"[(18, 3), (16, 3)]","[(17, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4), (24, 1)]","[(16, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]",41,24,18,42
41,"(16, 3)","(17, 3)",West,"[(17, 3), (15, 3)]","[(16, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(15, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]",42,25,17,42
42,"(15, 3)","(16, 3)",West,"[(15, 4), (15, 2), (16, 3), (14, 3)]","[(15, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(15, 2), (14, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]",43,26,16,42
43,"(15, 2)","(15, 3)",South,"[(15, 3), (15, 1)]","[(15, 2), (14, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(14, 3), (15, 1), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]",44,27,15,42
