iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
20,"(7, 3)","(8, 3)",West,"[(7, 4), (7, 2), (8, 3)]","[(7, 3), (9, 4), (16, 5), (16, 9), (16, 1)]","[(7, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (9, 2), (17, 9), (8, 3), (15, 2), (16, 7), (15, 5), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (15, 1), (15, 7), (7, 3), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3)]",20,8,28
21,"(7, 2)","(7, 3)",South,"[(7, 3), (7, 1)]","[(7, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(7, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (9, 2), (17, 9), (8, 3), (15, 2), (16, 7), (15, 5), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (15, 1), (15, 7), (7, 3), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",21,7,28
22,"(7, 1)","(7, 2)",South,"[(7, 2), (6, 1)]","[(7, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(6, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (9, 2), (17, 9), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (15, 1), (15, 7), (7, 3), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",22,6,28
23,"(6, 1)","(7, 1)",West,"[(7, 1), (5, 1)]","[(6, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (9, 2), (17, 9), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",23,5,28
24,"(5, 1)","(6, 1)",West,"[(5, 2), (6, 1)]","[(5, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (9, 2), (17, 9), (5, 1), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",24,4,28
25,"(5, 2)","(5, 1)",North,"[(5, 3), (5, 1)]","[(5, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 3), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (9, 2), (17, 9), (5, 1), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (5, 2), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",25,5,30
26,"(5, 3)","(5, 2)",North,"[(5, 4), (5, 2)]","[(5, 3), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 4), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (9, 2), (17, 9), (5, 1), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (5, 2), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",26,6,32
27,"(5, 4)","(5, 3)",North,"[(5, 5), (5, 3)]","[(5, 4), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (5, 2), (17, 7), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",27,7,34
28,"(5, 5)","(5, 4)",North,"[(5, 6), (5, 4), (4, 5)]","[(5, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(4, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",28,8,36
29,"(4, 5)","(5, 5)",West,"[(5, 5), (3, 5)]","[(4, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(3, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",29,7,36
30,"(3, 5)","(4, 5)",West,"[(4, 5), (2, 5)]","[(3, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(2, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (3, 5), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",30,6,36
31,"(2, 5)","(3, 5)",West,"[(3, 5), (1, 5)]","[(2, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(1, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (2, 5), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (3, 5), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",31,5,36
32,"(1, 5)","(2, 5)",West,"[(1, 6), (1, 4), (2, 5)]","[(1, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(1, 4), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (2, 5), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (1, 5), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (3, 5), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (15, 6), (15, 3), (7, 2)]",32,4,36
33,"(1, 4)","(1, 5)",South,"[(1, 5), (1, 3)]","[(1, 4), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]","[(1, 3), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (2, 5), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (1, 5), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (3, 5), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (1, 4), (15, 6), (15, 3), (7, 2)]",33,3,36
34,"(1, 3)","(1, 4)",South,"[(1, 4), (1, 2), (2, 3)]","[(1, 3), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]","[(1, 2), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (2, 5), (1, 3), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (13, 1), (1, 5), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (3, 5), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (1, 4), (15, 6), (15, 3), (7, 2)]",34,2,36
35,"(1, 2)","(1, 3)",South,"[(1, 3), (1, 1)]","[(1, 2), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]","[(1, 1), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (2, 5), (1, 3), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (1, 2), (13, 1), (1, 5), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (3, 5), (5, 2), (17, 7), (5, 5), (9, 3), (10, 1), (1, 4), (15, 6), (15, 3), (7, 2)]",35,1,36
36,"(1, 1)","(1, 2)",South,[],"[(1, 1), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]","[(2, 3), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]","[(12, 1), (14, 1), (5, 4), (9, 2), (17, 9), (5, 1), (8, 3), (2, 5), (1, 3), (15, 2), (16, 7), (15, 5), (7, 1), (4, 5), (5, 3), (9, 1), (17, 8), (11, 1), (1, 2), (13, 1), (1, 5), (15, 4), (6, 1), (15, 1), (15, 7), (7, 3), (3, 5), (5, 2), (17, 7), (5, 5), (9, 3), (1, 1), (10, 1), (1, 4), (15, 6), (15, 3), (7, 2)]",36,0,36
