iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
38,"(1, 11)","(1, 12)",South,"[(1, 12), (1, 10)]","[(34, 15), (25, 15), (1, 11)]","[(34, 15), (25, 15), (1, 10)]",39,38,0,38
39,"(1, 10)","(1, 11)",South,"[(1, 11), (1, 9)]","[(34, 15), (25, 15), (1, 10)]","[(34, 15), (25, 15), (1, 9)]",40,39,0,39
40,"(1, 9)","(1, 10)",South,"[(1, 10), (1, 8)]","[(34, 15), (25, 15), (1, 9)]","[(34, 15), (25, 15), (1, 8)]",41,40,0,40
41,"(1, 8)","(1, 9)",South,"[(1, 9), (1, 7)]","[(34, 15), (25, 15), (1, 8)]","[(34, 15), (25, 15), (1, 7)]",42,41,0,41
42,"(1, 7)","(1, 8)",South,"[(1, 8), (2, 7)]","[(34, 15), (25, 15), (1, 7)]","[(34, 15), (25, 15), (2, 7)]",43,42,0,42
43,"(2, 7)","(1, 7)",East,"[(3, 7), (1, 7)]","[(34, 15), (25, 15), (2, 7)]","[(34, 15), (25, 15), (3, 7)]",44,43,0,43
44,"(3, 7)","(2, 7)",East,"[(4, 7), (2, 7)]","[(34, 15), (25, 15), (3, 7)]","[(34, 15), (25, 15), (4, 7)]",45,44,0,44
45,"(4, 7)","(3, 7)",East,"[(4, 8), (3, 7)]","[(34, 15), (25, 15), (4, 7)]","[(34, 15), (25, 15), (4, 8)]",46,45,0,45
46,"(4, 8)","(4, 7)",North,"[(4, 9), (4, 7)]","[(34, 15), (25, 15), (4, 8)]","[(34, 15), (25, 15), (4, 9)]",47,46,0,46
47,"(4, 9)","(4, 8)",North,"[(4, 10), (4, 8)]","[(34, 15), (25, 15), (4, 9)]","[(34, 15), (25, 15), (4, 10)]",48,47,0,47
48,"(4, 10)","(4, 9)",North,"[(4, 11), (4, 9), (3, 10)]","[(34, 15), (25, 15), (4, 10)]","[(34, 15), (25, 15), (4, 11), (3, 10)]",49,48,0,48
49,"(3, 10)","(4, 10)",West,"[(4, 10)]","[(34, 15), (25, 15), (4, 11), (3, 10)]","[(34, 15), (25, 15), (4, 11)]",50,49,0,49
50,"(4, 11)","(4, 10)",North,"[(4, 12), (4, 10)]","[(34, 15), (25, 15), (4, 11)]","[(34, 15), (25, 15), (4, 12)]",51,49,0,49
51,"(4, 12)","(4, 11)",North,"[(4, 13), (4, 11)]","[(34, 15), (25, 15), (4, 12)]","[(34, 15), (25, 15), (4, 13)]",52,50,0,50
52,"(4, 13)","(4, 12)",North,"[(4, 14), (4, 12)]","[(34, 15), (25, 15), (4, 13)]","[(34, 15), (25, 15), (4, 14)]",53,51,0,51
53,"(4, 14)","(4, 13)",North,"[(4, 13), (5, 14)]","[(34, 15), (25, 15), (4, 14)]","[(34, 15), (25, 15), (5, 14)]",54,52,0,52
54,"(5, 14)","(4, 14)",East,"[(6, 14), (4, 14)]","[(34, 15), (25, 15), (5, 14)]","[(34, 15), (25, 15), (6, 14)]",55,53,0,53
55,"(6, 14)","(5, 14)",East,"[(6, 13), (5, 14)]","[(34, 15), (25, 15), (6, 14)]","[(34, 15), (25, 15), (6, 13)]",56,54,0,54
56,"(6, 13)","(6, 14)",South,"[(6, 14), (6, 12)]","[(34, 15), (25, 15), (6, 13)]","[(34, 15), (25, 15), (6, 12)]",57,55,0,55
57,"(6, 12)","(6, 13)",South,"[(6, 13), (6, 11)]","[(34, 15), (25, 15), (6, 12)]","[(34, 15), (25, 15), (6, 11)]",58,56,0,56
58,"(6, 11)","(6, 12)",South,"[(6, 12), (6, 10)]","[(34, 15), (25, 15), (6, 11)]","[(34, 15), (25, 15), (6, 10)]",59,57,0,57
59,"(6, 10)","(6, 11)",South,"[(6, 11), (6, 9)]","[(34, 15), (25, 15), (6, 10)]","[(34, 15), (25, 15), (6, 9)]",60,58,0,58
60,"(6, 9)","(6, 10)",South,"[(6, 10), (6, 8)]","[(34, 15), (25, 15), (6, 9)]","[(34, 15), (25, 15), (6, 8)]",61,59,0,59
61,"(6, 8)","(6, 9)",South,"[(6, 9), (7, 8)]","[(34, 15), (25, 15), (6, 8)]","[(34, 15), (25, 15), (7, 8)]",62,60,0,60
62,"(7, 8)","(6, 8)",East,"[(8, 8), (6, 8)]","[(34, 15), (25, 15), (7, 8)]","[(34, 15), (25, 15), (8, 8)]",63,61,0,61
63,"(8, 8)","(7, 8)",East,"[(8, 9), (7, 8)]","[(34, 15), (25, 15), (8, 8)]","[(34, 15), (25, 15), (8, 9)]",64,62,0,62
64,"(8, 9)","(8, 8)",North,"[(8, 10), (8, 8)]","[(34, 15), (25, 15), (8, 9)]","[(34, 15), (25, 15), (8, 10)]",65,63,0,63
65,"(8, 10)","(8, 9)",North,"[(8, 11), (8, 9)]","[(34, 15), (25, 15), (8, 10)]","[(34, 15), (25, 15), (8, 11)]",66,64,0,64
66,"(8, 11)","(8, 10)",North,"[(8, 12), (8, 10)]","[(34, 15), (25, 15), (8, 11)]","[(34, 15), (25, 15), (8, 12)]",67,65,0,65
67,"(8, 12)","(8, 11)",North,"[(8, 13), (8, 11)]","[(34, 15), (25, 15), (8, 12)]","[(34, 15), (25, 15), (8, 13)]",68,66,0,66
68,"(8, 13)","(8, 12)",North,"[(8, 14), (8, 12)]","[(34, 15), (25, 15), (8, 13)]","[(34, 15), (25, 15), (8, 14)]",69,67,0,67
69,"(8, 14)","(8, 13)",North,"[(8, 13), (9, 14)]","[(34, 15), (25, 15), (8, 14)]","[(34, 15), (25, 15), (9, 14)]",70,68,0,68
70,"(9, 14)","(8, 14)",East,"[(10, 14), (8, 14)]","[(34, 15), (25, 15), (9, 14)]","[(34, 15), (25, 15), (10, 14)]",71,69,0,69
71,"(10, 14)","(9, 14)",East,"[(10, 13), (9, 14)]","[(34, 15), (25, 15), (10, 14)]","[(34, 15), (25, 15), (10, 13)]",72,70,0,70
72,"(10, 13)","(10, 14)",South,"[(10, 14), (10, 12)]","[(34, 15), (25, 15), (10, 13)]","[(34, 15), (25, 15), (10, 12)]",73,71,0,71
73,"(10, 12)","(10, 13)",South,"[(10, 13), (10, 11)]","[(34, 15), (25, 15), (10, 12)]","[(34, 15), (25, 15), (10, 11)]",74,72,0,72
74,"(10, 11)","(10, 12)",South,"[(10, 12), (10, 10)]","[(34, 15), (25, 15), (10, 11)]","[(34, 15), (25, 15), (10, 10)]",75,73,0,73
75,"(10, 10)","(10, 11)",South,"[(10, 11), (11, 10)]","[(34, 15), (25, 15), (10, 10)]","[(34, 15), (25, 15), (11, 10)]",76,74,0,74
76,"(11, 10)","(10, 10)",East,"[(12, 10), (10, 10)]","[(34, 15), (25, 15), (11, 10)]","[(34, 15), (25, 15), (12, 10)]",77,75,0,75
77,"(12, 10)","(11, 10)",East,"[(12, 11), (11, 10)]","[(34, 15), (25, 15), (12, 10)]","[(34, 15), (25, 15), (12, 11)]",78,76,0,76
78,"(12, 11)","(12, 10)",North,"[(12, 12), (12, 10)]","[(34, 15), (25, 15), (12, 11)]","[(34, 15), (25, 15), (12, 12)]",79,77,0,77
79,"(12, 12)","(12, 11)",North,"[(12, 13), (12, 11), (13, 12)]","[(34, 15), (25, 15), (12, 12)]","[(34, 15), (25, 15), (12, 13), (13, 12)]",80,78,0,78
80,"(13, 12)","(12, 12)",East,"[(14, 12), (12, 12)]","[(34, 15), (25, 15), (12, 13), (13, 12)]","[(34, 15), (25, 15), (12, 13), (14, 12)]",81,79,0,79
81,"(14, 12)","(13, 12)",East,"[(14, 11), (15, 12), (13, 12)]","[(34, 15), (25, 15), (12, 13), (14, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (15, 12)]",82,80,0,80
82,"(15, 12)","(14, 12)",East,"[(16, 12), (14, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (15, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (16, 12)]",83,81,0,81
83,"(16, 12)","(15, 12)",East,"[(17, 12), (15, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (16, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 12)]",84,82,0,82
84,"(17, 12)","(16, 12)",East,"[(17, 13), (18, 12), (16, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (18, 12)]",85,83,0,83
85,"(18, 12)","(17, 12)",East,"[(19, 12), (17, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (18, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 12)]",86,84,0,84
86,"(19, 12)","(18, 12)",East,"[(19, 11), (20, 12), (18, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 12)]",87,85,0,85
87,"(20, 12)","(19, 12)",East,"[(20, 11), (21, 12), (19, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (21, 12)]",88,86,0,86
88,"(21, 12)","(20, 12)",East,"[(22, 12), (20, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (21, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (22, 12)]",89,87,0,87
89,"(22, 12)","(21, 12)",East,"[(23, 12), (21, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (22, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (23, 12)]",90,88,0,88
90,"(23, 12)","(22, 12)",East,"[(24, 12), (22, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (23, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (24, 12)]",91,89,0,89
91,"(24, 12)","(23, 12)",East,"[(24, 11), (23, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (24, 12)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (24, 11)]",92,90,0,90
92,"(24, 11)","(24, 12)",South,"[(24, 12), (25, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (24, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (25, 11)]",93,91,0,91
93,"(25, 11)","(24, 11)",East,"[(26, 11), (24, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (25, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (26, 11)]",94,92,0,92
94,"(26, 11)","(25, 11)",East,"[(27, 11), (25, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (26, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (27, 11)]",95,93,0,93
95,"(27, 11)","(26, 11)",East,"[(27, 12), (26, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (27, 11)]","[(34, 15), (25, 15), (12, 13), (14, 11), (17, 13), (19, 11), (20, 11), (27, 12)]",96,94,0,94
