iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
24,"(23, 16)","(24, 16)",West,"[(24, 16), (22, 16)]","[(26, 14), (34, 12), (23, 16)]","[(22, 16), (26, 14), (34, 12)]",25,11,0,11
25,"(34, 12)","(33, 12)",East,"[(34, 11), (33, 12)]","[(22, 16), (26, 14), (34, 12)]","[(34, 11), (22, 16), (26, 14)]",26,12,0,12
26,"(26, 14)","(25, 14)",East,"[(27, 14), (25, 14)]","[(34, 11), (22, 16), (26, 14)]","[(27, 14), (34, 11), (22, 16)]",27,12,0,12
27,"(22, 16)","(23, 16)",West,"[(23, 16), (21, 16)]","[(27, 14), (34, 11), (22, 16)]","[(21, 16), (27, 14), (34, 11)]",28,12,0,12
28,"(34, 11)","(34, 12)",South,"[(34, 12), (34, 10)]","[(21, 16), (27, 14), (34, 11)]","[(34, 10), (21, 16), (27, 14)]",29,13,0,13
29,"(27, 14)","(26, 14)",East,"[(27, 13), (26, 14)]","[(34, 10), (21, 16), (27, 14)]","[(27, 13), (34, 10), (21, 16)]",30,13,0,13
30,"(21, 16)","(22, 16)",West,"[(22, 16), (20, 16)]","[(27, 13), (34, 10), (21, 16)]","[(20, 16), (27, 13), (34, 10)]",31,13,0,13
31,"(34, 10)","(34, 11)",South,"[(34, 11), (33, 10)]","[(20, 16), (27, 13), (34, 10)]","[(33, 10), (20, 16), (27, 13)]",32,14,0,14
32,"(27, 13)","(27, 14)",South,"[(27, 14), (27, 12)]","[(33, 10), (20, 16), (27, 13)]","[(27, 12), (33, 10), (20, 16)]",33,14,0,14
33,"(20, 16)","(21, 16)",West,"[(21, 16), (19, 16)]","[(27, 12), (33, 10), (20, 16)]","[(19, 16), (27, 12), (33, 10)]",34,14,0,14
34,"(33, 10)","(34, 10)",West,"[(34, 10), (32, 10)]","[(19, 16), (27, 12), (33, 10)]","[(32, 10), (19, 16), (27, 12)]",35,15,0,15
35,"(27, 12)","(27, 13)",South,"[(27, 13), (27, 11)]","[(32, 10), (19, 16), (27, 12)]","[(27, 11), (32, 10), (19, 16)]",36,15,0,15
36,"(19, 16)","(20, 16)",West,"[(20, 16), (18, 16)]","[(27, 11), (32, 10), (19, 16)]","[(18, 16), (27, 11), (32, 10)]",37,15,0,15
37,"(32, 10)","(33, 10)",West,"[(33, 10), (31, 10)]","[(18, 16), (27, 11), (32, 10)]","[(31, 10), (18, 16), (27, 11)]",38,16,0,16
38,"(27, 11)","(27, 12)",South,"[(27, 12), (26, 11)]","[(31, 10), (18, 16), (27, 11)]","[(26, 11), (31, 10), (18, 16)]",39,16,0,16
39,"(18, 16)","(19, 16)",West,"[(19, 16), (17, 16)]","[(26, 11), (31, 10), (18, 16)]","[(17, 16), (26, 11), (31, 10)]",40,16,0,16
40,"(31, 10)","(32, 10)",West,"[(32, 10), (30, 10)]","[(17, 16), (26, 11), (31, 10)]","[(30, 10), (17, 16), (26, 11)]",41,17,0,17
41,"(26, 11)","(27, 11)",West,"[(27, 11), (25, 11)]","[(30, 10), (17, 16), (26, 11)]","[(25, 11), (30, 10), (17, 16)]",42,17,0,17
42,"(17, 16)","(18, 16)",West,"[(18, 16), (16, 16)]","[(25, 11), (30, 10), (17, 16)]","[(16, 16), (25, 11), (30, 10)]",43,17,0,17
43,"(30, 10)","(31, 10)",West,"[(30, 9), (31, 10), (29, 10)]","[(16, 16), (25, 11), (30, 10)]","[(29, 10), (30, 9), (16, 16), (25, 11)]",44,18,0,18
44,"(25, 11)","(26, 11)",West,"[(26, 11), (24, 11)]","[(29, 10), (30, 9), (16, 16), (25, 11)]","[(24, 11), (29, 10), (30, 9), (16, 16)]",45,18,0,18
45,"(16, 16)","(17, 16)",West,"[(17, 16), (15, 16)]","[(24, 11), (29, 10), (30, 9), (16, 16)]","[(15, 16), (24, 11), (29, 10), (30, 9)]",46,18,0,18
46,"(30, 9)","(30, 10)",South,"[(30, 10), (30, 8)]","[(15, 16), (24, 11), (29, 10), (30, 9)]","[(30, 8), (15, 16), (24, 11), (29, 10)]",47,19,0,19
47,"(29, 10)","(30, 10)",West,"[(30, 10)]","[(30, 8), (15, 16), (24, 11), (29, 10)]","[(30, 8), (15, 16), (24, 11)]",48,19,0,19
48,"(24, 11)","(25, 11)",West,"[(24, 12), (25, 11)]","[(30, 8), (15, 16), (24, 11)]","[(24, 12), (30, 8), (15, 16)]",49,19,0,19
49,"(15, 16)","(16, 16)",West,"[(16, 16), (14, 16)]","[(24, 12), (30, 8), (15, 16)]","[(14, 16), (24, 12), (30, 8)]",50,19,0,19
50,"(30, 8)","(30, 9)",South,"[(30, 9), (31, 8)]","[(14, 16), (24, 12), (30, 8)]","[(31, 8), (14, 16), (24, 12)]",51,20,0,20
51,"(24, 12)","(24, 11)",North,"[(24, 11), (23, 12)]","[(31, 8), (14, 16), (24, 12)]","[(23, 12), (31, 8), (14, 16)]",52,20,0,20
52,"(14, 16)","(15, 16)",West,"[(15, 16), (13, 16)]","[(23, 12), (31, 8), (14, 16)]","[(13, 16), (23, 12), (31, 8)]",53,20,0,20
53,"(31, 8)","(30, 8)",East,"[(32, 8), (30, 8)]","[(13, 16), (23, 12), (31, 8)]","[(32, 8), (13, 16), (23, 12)]",54,21,0,21
54,"(23, 12)","(24, 12)",West,"[(24, 12), (22, 12)]","[(32, 8), (13, 16), (23, 12)]","[(22, 12), (32, 8), (13, 16)]",55,21,0,21
